Location,Well,Rep,Days_Postplanting,Hours_Postplanting,Date,Emergence,V1,Death_Post_Emergence
North Dakota,1A,1,0,0,5/24/2024,0,0,0
North Dakota,1B,2,0,0,5/24/2024,0,0,0
North Dakota,1C,3,0,0,5/24/2024,0,0,0
North Dakota,1D,4,0,0,5/24/2024,0,0,0
North Dakota,2A,5,0,0,5/24/2024,0,0,0
North Dakota,2B,6,0,0,5/24/2024,0,0,0
North Dakota,2C,7,0,0,5/24/2024,0,0,0
North Dakota,2D,8,0,0,5/24/2024,0,0,0
North Dakota,3A,9,0,0,5/24/2024,0,0,0
North Dakota,3B,10,0,0,5/24/2024,0,0,0
North Dakota,3C,11,0,0,5/24/2024,0,0,0
North Dakota,3D,12,0,0,5/24/2024,0,0,0
North Dakota,1A,1,3,72,5/27/2024,0,0,0
North Dakota,1B,2,3,72,5/27/2024,0,0,0
North Dakota,1C,3,3,72,5/27/2024,1,0,0
North Dakota,1D,4,3,72,5/27/2024,0,0,0
North Dakota,2A,5,3,72,5/27/2024,0,0,0
North Dakota,2B,6,3,72,5/27/2024,0,0,0
North Dakota,2C,7,3,72,5/27/2024,0,0,0
North Dakota,2D,8,3,72,5/27/2024,0,0,0
North Dakota,3A,9,3,72,5/27/2024,0,0,0
North Dakota,3B,10,3,72,5/27/2024,0,0,0
North Dakota,3C,11,3,72,5/27/2024,0,0,0
North Dakota,3D,12,3,72,5/27/2024,0,0,0
North Dakota,1A,1,20,480,6/13/2024,0,0,0
North Dakota,1B,2,20,480,6/13/2024,0,0,0
North Dakota,1C,3,20,480,6/13/2024,1,0,1
North Dakota,1D,4,20,480,6/13/2024,0,0,0
North Dakota,2A,5,20,480,6/13/2024,0,0,0
North Dakota,2B,6,20,480,6/13/2024,0,0,0
North Dakota,2C,7,20,480,6/13/2024,0,0,0
North Dakota,2D,8,20,480,6/13/2024,0,0,0
North Dakota,3A,9,20,480,6/13/2024,0,0,0
North Dakota,3B,10,20,480,6/13/2024,0,0,0
North Dakota,3C,11,20,480,6/13/2024,0,0,0
North Dakota,3D,12,20,480,6/13/2024,0,0,0
North Dakota,1A,1,38,912,7/1/2024,0,0,0
North Dakota,1B,2,38,912,7/1/2024,0,0,0
North Dakota,1C,3,38,912,7/1/2024,1,0,1
North Dakota,1D,4,38,912,7/1/2024,0,0,0
North Dakota,2A,5,38,912,7/1/2024,0,0,0
North Dakota,2B,6,38,912,7/1/2024,0,0,0
North Dakota,2C,7,38,912,7/1/2024,0,0,0
North Dakota,2D,8,38,912,7/1/2024,0,0,0
North Dakota,3A,9,38,912,7/1/2024,0,0,0
North Dakota,3B,10,38,912,7/1/2024,0,0,0
North Dakota,3C,11,38,912,7/1/2024,0,0,0
North Dakota,3D,12,38,912,7/1/2024,0,0,0
